ticket_id,customer_id,ticket_date,issue_type
63,31032,2020-11-07,Inquiry
64,43330,2020-10-17,Complaint
65,2813,2024-04-10,Inquiry
66,20493,2023-12-17,Complaint
67,47519,2022-06-10,Inquiry
68,6721,2021-03-31,Complaint
69,31053,2020-05-07,Complaint
70,7343,2023-12-12,Complaint
71,46575,2025-05-15,Inquiry
72,41177,2020-06-08,Inquiry
73,36475,2024-07-09,Complaint
74,21094,2020-12-09,Inquiry
75,16391,2024-01-20,Inquiry
76,32478,2020-09-30,Inquiry
77,4113,2024-01-09,Inquiry
78,41432,2024-10-07,Inquiry
79,38400,2023-03-16,Inquiry
80,44134,2024-06-21,Inquiry
81,13201,2021-12-25,Inquiry
82,22993,2025-05-14,Complaint
83,30070,2025-06-17,Complaint
84,41789,2022-06-28,Complaint
85,14058,2022-12-12,Inquiry
86,16713,2022-04-06,Inquiry
87,47491,2023-06-24,Inquiry
88,19629,2024-06-28,Complaint
89,17083,2022-01-22,Complaint
90,16314,2022-10-31,Inquiry
91,40686,2022-11-24,Inquiry
92,44064,2024-06-23,Complaint
93,5443,2021-11-07,Inquiry
94,23297,2023-09-28,Inquiry
95,38686,2024-01-22,Complaint
96,10467,2025-02-11,Complaint
97,8411,2022-01-14,Inquiry
98,7607,2021-07-21,Inquiry
99,34872,2022-02-15,Inquiry
100,21965,2021-05-18,Inquiry
101,18080,2024-07-28,Complaint
102,12099,2023-05-06,Inquiry
103,11844,2024-12-03,Complaint
104,8557,2021-06-06,Inquiry
105,26327,2022-04-24,Complaint
106,37389,2025-03-01,Inquiry
107,9815,2024-09-24,Complaint
108,16195,2023-01-22,Complaint
109,2943,2025-06-10,Complaint
110,26406,2023-09-10,Inquiry
111,32245,2020-05-28,Inquiry
112,37656,2021-12-28,Inquiry
113,34572,2020-04-10,Inquiry
114,48393,2020-02-06,Inquiry
115,23809,2024-11-15,Inquiry
116,29588,2022-09-30,Inquiry
117,36945,2025-01-27,Inquiry
118,41760,2023-03-29,Inquiry
119,48197,2024-04-24,Inquiry
120,42987,2024-06-11,Complaint
121,18418,2023-06-08,Complaint
122,1144,2021-06-02,Complaint
123,36071,2022-04-20,Inquiry
124,10677,2024-06-16,Inquiry
125,46492,2021-01-09,Complaint
126,27399,2025-03-18,Inquiry
127,4488,2021-01-10,Complaint
128,23447,2024-06-09,Complaint
129,44807,2025-02-11,Complaint
130,25451,2024-11-07,Complaint
131,40600,2020-11-13,Complaint
132,14256,2020-10-31,Inquiry
133,24791,2025-06-09,Complaint
134,11085,2023-10-08,Inquiry
135,1288,2021-05-31,Complaint
136,13485,2020-07-19,Inquiry
137,28887,2024-10-19,Inquiry
138,45865,2025-02-09,Inquiry
139,28392,2025-04-15,Inquiry
140,44143,2023-05-26,Complaint
141,13706,2025-01-26,Inquiry
142,12067,2023-01-04,Inquiry
143,1034,2025-06-18,Complaint
144,27116,2020-08-14,Complaint
145,1352,2023-02-02,Inquiry
146,42156,2024-11-02,Complaint
147,35468,2023-02-15,Complaint
148,20154,2022-11-05,Complaint
149,48280,2024-12-19,Inquiry
150,21767,2024-06-04,Complaint
151,39874,2023-08-20,Complaint
152,30180,2023-09-13,Inquiry
153,33264,2021-02-12,Inquiry
154,24335,2020-04-14,Inquiry
155,22795,2023-06-19,Inquiry
156,1538,2023-05-21,Inquiry
157,38825,2022-03-06,Inquiry
158,4806,2022-06-04,Inquiry
159,31536,2020-02-06,Inquiry
160,19753,2025-05-18,Complaint
161,8191,2020-10-09,Inquiry
162,9080,2022-04-02,Complaint
163,24213,2024-01-26,Complaint
164,43329,2022-09-25,Inquiry
165,6287,2021-07-11,Inquiry
166,23477,2020-03-11,Complaint
167,39218,2022-07-24,Complaint
168,25363,2022-07-03,Complaint
169,8934,2022-11-28,Inquiry
170,40682,2023-05-03,Inquiry
171,24849,2021-09-30,Inquiry
172,47506,2021-05-05,Complaint
173,36209,2023-04-15,Inquiry
174,188,2022-07-04,Inquiry
175,27546,2023-04-07,Inquiry
176,13541,2021-11-17,Inquiry
177,19786,2024-01-16,Inquiry
178,22690,2020-12-07,Inquiry
179,850,2022-09-19,Inquiry
180,3645,2022-02-10,Complaint
181,6714,2022-06-18,Inquiry
182,39669,2021-07-26,Inquiry
183,16055,2021-07-03,Inquiry
184,7316,2021-11-28,Complaint
185,11252,2022-04-24,Inquiry
186,29866,2021-12-09,Complaint
187,14897,2023-10-05,Complaint
188,40721,2021-12-21,Inquiry
189,46162,2021-08-17,Complaint
190,1300,2021-05-12,Inquiry
191,48195,2025-04-26,Complaint
192,40824,2020-09-23,Complaint
193,5084,2023-09-26,Complaint
194,33233,2020-03-27,Complaint
195,46039,2021-10-27,Inquiry
196,8995,2021-04-22,Complaint
197,4323,2023-10-21,Complaint
198,11552,2021-01-27,Complaint
199,4825,2021-12-26,Inquiry
200,19572,2022-12-20,Complaint
201,26937,2022-07-05,Inquiry
202,4157,2024-11-22,Inquiry
203,13231,2021-06-04,Complaint
204,7122,2022-05-14,Complaint
205,13675,2022-11-26,Inquiry
206,44298,2020-06-02,Complaint
207,24607,2022-12-17,Inquiry
208,10515,2024-03-10,Inquiry
209,6984,2023-01-07,Complaint
210,10160,2024-06-07,Inquiry
211,328,2023-03-28,Complaint
212,34108,2023-12-16,Inquiry
213,390,2025-01-19,Complaint
214,7032,2020-03-04,Complaint
215,29391,2022-01-01,Inquiry
216,31289,2025-04-30,Complaint
217,4801,2020-09-07,Inquiry
218,42789,2021-11-13,Inquiry
219,8626,2024-03-16,Inquiry
220,3334,2025-02-09,Inquiry
221,29143,2022-08-17,Inquiry
222,49207,2021-07-06,Inquiry
223,22382,2024-05-03,Inquiry
224,31421,2024-02-01,Inquiry
225,20717,2023-05-04,Complaint
226,45281,2022-02-06,Complaint
227,28184,2021-04-30,Inquiry
228,24115,2021-07-23,Inquiry
229,27375,2023-12-19,Inquiry
230,683,2023-05-28,Complaint
231,6387,2021-06-23,Inquiry
232,46209,2023-01-20,Complaint
233,12752,2020-02-25,Inquiry
234,47791,2022-11-08,Complaint
235,12196,2024-12-21,Inquiry
236,32830,2021-07-08,Complaint
237,29916,2021-07-27,Complaint
238,1541,2021-12-03,Complaint
239,3376,2025-06-12,Complaint
240,10651,2020-10-01,Inquiry
241,19026,2025-03-31,Inquiry
242,41292,2020-11-06,Inquiry
243,28486,2025-02-17,Complaint
244,31873,2021-01-14,Inquiry
245,15850,2020-12-11,Inquiry
246,11009,2020-01-15,Inquiry
247,33444,2022-11-08,Inquiry
248,24732,2022-09-22,Complaint
249,12275,2022-02-17,Complaint
250,790,2022-09-25,Complaint
251,35499,2020-01-11,Inquiry
252,13676,2024-10-31,Inquiry
253,8069,2022-08-17,Inquiry
254,36174,2024-11-05,Complaint
255,48592,2023-09-03,Complaint
256,10623,2023-10-07,Inquiry
257,43276,2025-02-06,Complaint
258,39335,2020-06-27,Inquiry
259,14548,2023-06-19,Complaint
260,18741,2023-07-05,Complaint
261,35090,2022-09-23,Inquiry
262,46789,2025-05-20,Complaint
263,26470,2021-07-24,Inquiry
264,9898,2022-04-23,Inquiry
265,40500,2022-08-18,Inquiry
266,30274,2022-05-28,Complaint
267,48897,2020-04-02,Complaint
268,30737,2024-06-02,Complaint
269,49147,2024-05-06,Inquiry
270,30280,2020-10-11,Complaint
271,18073,2021-11-11,Inquiry
272,8634,2022-12-08,Inquiry
273,22348,2021-11-03,Inquiry
274,10578,2021-04-20,Inquiry
275,45024,2024-07-10,Complaint
276,32360,2024-03-29,Inquiry
277,14080,2022-11-22,Complaint
278,6696,2022-11-04,Complaint
279,39003,2022-11-12,Complaint
280,1777,2020-11-11,Inquiry
281,44300,2023-05-19,Inquiry
282,34740,2023-07-09,Complaint
283,49837,2021-05-24,Inquiry
284,27774,2022-03-05,Inquiry
285,18025,2024-08-02,Inquiry
286,20115,2021-08-25,Complaint
287,17007,2020-10-25,Complaint
288,41235,2024-05-09,Complaint
289,16090,2023-07-28,Inquiry
290,36182,2020-10-27,Inquiry
291,19237,2025-02-18,Complaint
292,26727,2020-03-05,Inquiry
293,20436,2024-06-17,Complaint
294,32500,2023-05-10,Inquiry
295,30201,2024-12-04,Complaint
296,43329,2021-10-11,Inquiry
297,42938,2024-11-24,Inquiry
298,23047,2021-03-08,Complaint
299,27327,2022-12-23,Inquiry
300,4835,2023-10-04,Inquiry
301,44650,2021-01-31,Complaint
302,3468,2023-07-12,Inquiry
303,25504,2023-06-14,Complaint
304,23741,2025-02-18,Complaint
305,44441,2021-09-14,Inquiry
306,16584,2020-08-04,Complaint
307,21759,2023-01-13,Inquiry
308,335,2024-06-28,Inquiry
309,27433,2020-07-23,Inquiry
310,28774,2020-10-03,Inquiry
311,26064,2022-06-27,Complaint
312,20871,2023-01-05,Inquiry
313,22383,2020-01-12,Complaint
314,34862,2023-09-05,Inquiry
315,46768,2023-11-24,Inquiry
316,13758,2025-02-13,Complaint
317,35952,2021-05-23,Complaint
318,5281,2022-05-02,Complaint
319,25157,2024-08-27,Inquiry
320,22110,2023-01-27,Complaint
321,29369,2020-09-08,Complaint
322,21740,2023-10-05,Complaint
323,24820,2021-02-23,Inquiry
324,5866,2022-04-28,Complaint
325,8610,2022-01-28,Complaint
326,32202,2022-07-24,Complaint
327,18215,2024-05-17,Complaint
328,24314,2022-12-27,Inquiry
329,17237,2021-01-13,Complaint
330,1464,2020-02-15,Complaint
331,19319,2020-01-28,Inquiry
332,48409,2021-08-09,Inquiry
333,38383,2025-01-25,Complaint
334,13733,2020-08-06,Inquiry
335,16423,2025-03-22,Inquiry
336,49870,2022-08-16,Inquiry
337,45381,2021-04-01,Complaint
338,26841,2024-04-17,Inquiry
339,21826,2021-01-29,Complaint
340,29296,2025-03-31,Inquiry
341,2954,2021-04-28,Inquiry
342,27240,2021-10-25,Inquiry
343,11782,2021-01-06,Inquiry
344,15210,2023-06-17,Complaint
345,45427,2024-09-16,Inquiry
346,7834,2023-10-29,Inquiry
347,21462,2024-08-22,Complaint
348,32334,2024-10-12,Inquiry
349,41278,2020-07-12,Complaint
350,18284,2021-09-07,Inquiry
351,26226,2021-07-28,Inquiry
352,44695,2021-12-25,Inquiry
353,32080,2024-05-29,Inquiry
354,35417,2024-09-04,Inquiry
355,24171,2022-05-08,Inquiry
356,15018,2021-12-24,Inquiry
357,45259,2024-12-11,Complaint
358,38558,2022-08-16,Inquiry
359,18112,2021-07-13,Inquiry
360,3451,2021-01-13,Inquiry
361,16785,2021-01-23,Complaint
362,23642,2024-01-27,Complaint
363,38406,2023-02-19,Complaint
364,1419,2024-05-22,Inquiry
365,9985,2020-08-17,Inquiry
366,35149,2021-06-26,Complaint
367,47435,2020-12-14,Complaint
368,29540,2024-07-15,Inquiry
369,43488,2023-09-04,Complaint
370,36419,2021-02-27,Complaint
371,26011,2021-12-02,Complaint
372,2128,2022-04-15,Inquiry
373,22885,2023-02-02,Inquiry
374,11547,2022-08-22,Inquiry
375,31715,2024-05-06,Complaint
376,37634,2020-04-23,Complaint
377,17200,2020-08-27,Inquiry
378,43545,2023-02-16,Complaint
379,34003,2022-04-15,Inquiry
380,44633,2021-03-30,Inquiry
381,48743,2020-06-01,Inquiry
382,32341,2023-05-14,Inquiry
383,23846,2022-12-19,Inquiry
384,18600,2023-04-06,Complaint
385,19980,2021-11-11,Inquiry
386,2205,2024-04-20,Inquiry
387,15968,2020-07-05,Inquiry
388,36427,2025-05-15,Inquiry
389,17189,2020-08-14,Complaint
390,37103,2024-08-01,Complaint
391,21327,2020-01-28,Inquiry
392,218,2024-03-30,Complaint
393,45634,2020-05-22,Inquiry
394,28445,2021-07-26,Inquiry
395,44740,2025-04-05,Inquiry
396,28258,2020-06-06,Complaint
397,29557,2024-03-07,Complaint
398,44899,2023-07-03,Inquiry
399,20042,2020-07-19,Inquiry
400,23906,2024-08-04,Inquiry
401,11760,2020-09-18,Inquiry
402,26840,2022-01-25,Inquiry
403,38888,2022-07-11,Complaint
404,18309,2020-12-22,Inquiry
405,7669,2021-03-19,Inquiry
406,19892,2023-08-09,Complaint
407,13823,2020-12-22,Complaint
408,19978,2021-08-31,Inquiry
409,47856,2022-04-26,Complaint
410,34367,2021-04-02,Complaint
411,41035,2023-11-12,Inquiry
412,36497,2023-01-21,Complaint
413,41025,2024-03-17,Complaint
414,37176,2024-08-22,Complaint
415,12281,2025-05-19,Inquiry
416,39396,2021-01-24,Inquiry
417,564,2025-03-16,Inquiry
418,49213,2021-12-15,Inquiry
419,11742,2021-06-20,Inquiry
420,13501,2021-07-30,Complaint
421,23331,2020-09-30,Complaint
422,24243,2020-11-18,Inquiry
423,38785,2024-06-13,Complaint
424,31767,2021-05-19,Complaint
425,14925,2024-01-24,Complaint
426,32802,2021-04-03,Inquiry
427,37483,2021-05-31,Complaint
428,26869,2020-01-05,Inquiry
429,11275,2022-06-20,Complaint
430,46427,2023-03-09,Inquiry
431,7005,2025-06-11,Inquiry
432,27201,2020-05-08,Inquiry
433,11261,2023-07-12,Complaint
434,5785,2020-02-28,Inquiry
435,39687,2020-05-11,Inquiry
436,17749,2023-07-13,Complaint
437,666,2023-04-19,Complaint
438,10578,2022-04-24,Complaint
439,31841,2022-06-29,Complaint
440,21043,2025-03-09,Inquiry
441,48152,2022-07-20,Inquiry
442,3594,2022-09-05,Complaint
443,1503,2025-01-28,Complaint
444,23570,2024-06-30,Inquiry
445,3211,2022-03-06,Complaint
446,42493,2021-09-14,Inquiry
447,6048,2022-01-14,Complaint
448,49173,2024-05-08,Inquiry
449,28988,2025-03-24,Complaint
450,46963,2020-02-04,Inquiry
451,46554,2020-09-20,Inquiry
452,31278,2022-05-19,Complaint
453,31121,2024-02-23,Inquiry
454,44118,2022-07-06,Complaint
455,34121,2023-02-07,Inquiry
456,4589,2020-04-26,Inquiry
457,16901,2020-02-02,Complaint
458,11704,2023-12-10,Inquiry
459,8179,2022-01-30,Complaint
460,43903,2023-09-09,Inquiry
461,1678,2023-01-19,Complaint
462,2093,2021-05-06,Complaint
463,31435,2021-01-15,Inquiry
464,13107,2020-12-13,Inquiry
465,7751,2023-02-18,Complaint
466,37483,2023-08-16,Inquiry
467,6101,2024-07-29,Inquiry
468,11449,2021-05-06,Complaint
469,41324,2022-12-16,Complaint
470,14539,2022-02-17,Complaint
471,47477,2023-06-28,Complaint
472,6630,2024-02-02,Inquiry
473,22029,2022-12-08,Inquiry
474,49068,2024-09-21,Complaint
475,8619,2020-05-08,Inquiry
476,15065,2021-10-22,Complaint
477,29553,2023-11-03,Inquiry
478,25138,2020-02-07,Complaint
479,4280,2020-12-04,Complaint
480,25662,2022-07-19,Inquiry
481,7863,2020-02-10,Inquiry
482,48997,2022-04-05,Complaint
483,1950,2020-11-13,Inquiry
484,20676,2024-01-17,Inquiry
485,9129,2024-07-17,Complaint
486,17420,2023-01-07,Complaint
487,26957,2025-04-27,Inquiry
488,18229,2023-10-19,Inquiry
489,30692,2024-11-11,Inquiry
490,43543,2022-11-22,Complaint
491,28458,2021-08-23,Complaint
492,10196,2023-01-02,Inquiry
493,42987,2023-07-16,Inquiry
494,10358,2025-06-06,Complaint
495,11075,2022-05-10,Complaint
496,12043,2021-07-06,Inquiry
497,25950,2023-11-09,Inquiry
498,30858,2020-07-20,Complaint
499,44621,2025-03-04,Inquiry
500,40095,2021-04-28,Inquiry
501,3244,2021-01-12,Inquiry
502,27045,2023-04-07,Inquiry
503,42393,2021-07-02,Complaint
504,4330,2025-06-22,Complaint
505,19831,2024-05-25,Inquiry
506,7051,2022-09-05,Complaint
507,47586,2020-06-26,Complaint
508,15345,2022-07-11,Inquiry
509,44845,2020-07-09,Complaint
510,31337,2020-02-08,Inquiry
511,19610,2023-03-06,Complaint
512,35890,2025-01-19,Inquiry
513,35608,2020-01-04,Complaint
514,16752,2020-01-09,Inquiry
515,17632,2020-11-25,Inquiry
516,6482,2024-01-17,Inquiry
517,28652,2025-01-17,Inquiry
518,11290,2021-04-28,Inquiry
519,47913,2021-07-02,Inquiry
520,656,2025-06-15,Complaint
521,23993,2023-12-18,Inquiry
522,29541,2022-04-12,Inquiry
523,4915,2021-04-27,Inquiry
524,25403,2021-05-23,Complaint
525,37327,2022-02-21,Inquiry
526,30660,2022-09-21,Complaint
527,39670,2021-08-24,Inquiry
528,33064,2022-03-29,Inquiry
529,46028,2021-01-05,Inquiry
530,37027,2022-05-25,Complaint
531,15642,2021-05-29,Inquiry
532,33097,2020-10-30,Complaint
533,22992,2024-04-12,Inquiry
534,7355,2020-03-03,Inquiry
535,40527,2022-03-28,Inquiry
536,20052,2023-01-07,Complaint
537,18819,2021-01-05,Inquiry
538,1448,2024-03-20,Complaint
539,37559,2021-09-25,Inquiry
540,20455,2023-02-16,Complaint
541,28749,2021-08-02,Complaint
542,45488,2023-02-06,Inquiry
543,15325,2024-10-19,Inquiry
544,3822,2021-01-19,Complaint
545,13767,2023-09-28,Inquiry
546,37813,2022-08-18,Complaint
547,44488,2022-04-05,Complaint
548,34552,2024-01-18,Complaint
549,38948,2023-12-28,Complaint
550,19174,2023-07-14,Complaint
551,18471,2023-08-23,Complaint
552,5579,2021-06-18,Complaint
553,42809,2023-11-10,Complaint
554,164,2024-02-01,Inquiry
555,5234,2023-09-17,Complaint
556,22023,2024-05-02,Inquiry
557,18023,2021-09-01,Complaint
558,20629,2020-02-18,Complaint
559,2831,2020-12-28,Complaint
560,36654,2022-02-17,Inquiry
561,31663,2022-12-30,Complaint
562,29883,2021-02-27,Complaint
563,16317,2025-03-03,Complaint
564,25257,2025-05-02,Inquiry
565,30006,2021-05-16,Inquiry
566,5655,2025-04-29,Complaint
567,48908,2024-08-29,Complaint
568,41199,2022-10-01,Complaint
569,36130,2020-09-01,Inquiry
570,340,2021-01-23,Inquiry
571,4971,2024-06-27,Complaint
572,22880,2023-12-27,Inquiry
573,5517,2022-10-19,Inquiry
574,46567,2024-04-06,Complaint
575,36884,2021-05-16,Complaint
576,38280,2020-04-20,Inquiry
577,1862,2020-11-18,Complaint
578,27235,2020-07-12,Complaint
579,9881,2025-01-19,Inquiry
580,40846,2020-03-31,Complaint
581,28641,2022-06-14,Inquiry
582,2491,2021-10-27,Inquiry
583,30515,2024-05-29,Inquiry
584,12432,2024-02-17,Complaint
585,32630,2022-02-26,Inquiry
586,37734,2021-05-12,Inquiry
587,7913,2023-10-10,Complaint
588,42740,2024-10-08,Inquiry
589,44582,2020-08-16,Inquiry
590,28618,2022-10-23,Complaint
591,11489,2023-06-16,Inquiry
592,43152,2025-03-04,Complaint
593,14687,2025-04-12,Inquiry
594,43757,2021-02-26,Inquiry
595,46233,2023-04-14,Inquiry
596,16206,2020-09-04,Inquiry
597,11572,2020-07-18,Inquiry
598,25195,2022-03-03,Inquiry
599,31610,2023-07-29,Complaint
600,10697,2022-08-06,Inquiry
601,20408,2024-11-06,Inquiry
602,32590,2021-07-16,Complaint
603,37135,2021-07-05,Inquiry
604,39221,2024-02-11,Complaint
605,7991,2023-06-14,Inquiry
606,19444,2021-03-18,Complaint
607,10501,2023-02-10,Complaint
608,4606,2025-04-07,Complaint
609,32551,2020-11-01,Inquiry
610,14861,2024-07-07,Inquiry
611,45379,2020-07-11,Complaint
612,40545,2021-12-30,Inquiry
613,10259,2020-12-01,Inquiry
614,34207,2023-06-21,Inquiry
615,29792,2020-11-15,Complaint
616,11061,2020-05-22,Complaint
617,35394,2023-11-12,Complaint
618,5328,2024-12-27,Inquiry
619,5490,2024-06-21,Inquiry
620,21888,2022-07-29,Complaint
621,1285,2024-04-18,Inquiry
622,12337,2021-11-30,Inquiry
623,26002,2020-09-21,Complaint
624,10345,2023-03-19,Complaint
625,46897,2021-03-17,Inquiry
626,42552,2020-01-13,Inquiry
627,30881,2022-03-04,Inquiry
628,25474,2021-09-26,Complaint
629,7682,2023-03-20,Complaint
630,17568,2022-07-07,Complaint
631,8716,2022-01-21,Complaint
632,46631,2020-02-17,Inquiry
633,47667,2024-08-28,Complaint
634,6790,2025-02-24,Complaint
635,48143,2022-04-17,Inquiry
636,3296,2020-06-02,Inquiry
637,34607,2020-01-10,Complaint
638,31533,2020-03-29,Complaint
639,2319,2025-04-30,Inquiry
640,25423,2023-03-06,Inquiry
641,16353,2023-04-06,Inquiry
642,37991,2024-01-31,Inquiry
643,33647,2021-11-17,Complaint
644,8035,2024-08-19,Inquiry
645,16869,2025-02-15,Inquiry
646,31492,2025-04-02,Inquiry
647,46932,2024-02-04,Complaint
648,11423,2024-01-27,Inquiry
649,14751,2020-04-11,Inquiry
650,11668,2025-04-27,Inquiry
651,39280,2022-05-12,Complaint
652,6473,2021-06-23,Complaint
653,3067,2020-12-04,Complaint
654,33229,2023-04-16,Inquiry
655,9125,2023-03-30,Complaint
656,36730,2020-07-12,Inquiry
657,25577,2021-09-28,Inquiry
658,8856,2025-03-20,Inquiry
659,18165,2022-10-10,Complaint
660,40025,2025-05-18,Inquiry
661,18747,2023-06-04,Inquiry
662,6110,2022-02-25,Complaint
663,472,2024-12-09,Complaint
664,27721,2025-02-25,Complaint
665,6301,2023-07-14,Inquiry
666,8522,2023-03-26,Complaint
667,12238,2021-09-09,Inquiry
668,32854,2022-12-15,Inquiry
669,13741,2022-02-11,Inquiry
670,47734,2024-05-22,Complaint
671,21768,2022-05-31,Inquiry
672,27580,2021-10-03,Complaint
673,43971,2023-08-07,Complaint
674,7962,2023-11-15,Inquiry
675,20244,2021-06-21,Inquiry
676,32593,2021-08-06,Complaint
677,39327,2025-01-22,Inquiry
678,18381,2020-10-31,Inquiry
679,28074,2024-10-26,Inquiry
680,36914,2022-08-13,Inquiry
681,23027,2024-03-26,Complaint
682,41120,2021-04-14,Complaint
683,12576,2025-06-20,Complaint
684,36363,2025-03-26,Complaint
685,38421,2021-05-15,Inquiry
686,42261,2023-05-20,Inquiry
687,1161,2021-02-15,Inquiry
688,27020,2021-06-04,Inquiry
689,48928,2022-11-23,Complaint
690,45781,2023-06-30,Inquiry
691,6962,2023-04-17,Complaint
692,27815,2024-01-13,Complaint
693,39365,2021-02-10,Inquiry
694,47493,2024-10-09,Inquiry
695,22456,2025-03-25,Complaint
696,10062,2020-09-27,Inquiry
697,47977,2021-03-17,Inquiry
698,46870,2023-03-09,Inquiry
699,4065,2023-05-04,Inquiry
700,21987,2022-10-13,Inquiry
701,17629,2024-09-30,Complaint
702,39887,2024-06-30,Inquiry
703,31007,2023-04-14,Inquiry
704,48860,2021-03-10,Inquiry
705,43282,2021-01-22,Complaint
706,18440,2021-07-28,Complaint
707,8097,2024-12-24,Inquiry
708,49005,2024-07-06,Complaint
709,44687,2023-01-02,Inquiry
710,39075,2020-11-12,Inquiry
711,8690,2024-05-01,Complaint
712,12072,2022-01-13,Complaint
713,30437,2022-02-23,Inquiry
714,27725,2025-05-16,Inquiry
715,15529,2023-08-23,Complaint
716,1257,2020-01-26,Inquiry
717,15883,2021-07-29,Inquiry
718,8179,2024-06-13,Complaint
719,28028,2022-05-21,Complaint
720,20594,2024-12-03,Inquiry
721,27479,2023-05-30,Complaint
722,14589,2023-07-10,Inquiry
723,27827,2025-03-26,Complaint
724,45207,2023-10-20,Inquiry
725,37038,2022-05-05,Inquiry
726,19200,2022-10-23,Complaint
727,17521,2024-01-23,Complaint
728,27524,2021-08-26,Complaint
729,39020,2020-06-09,Complaint
730,12794,2020-10-29,Complaint
731,33826,2020-05-19,Inquiry
732,36782,2020-05-29,Complaint
733,13959,2023-03-10,Inquiry
734,34085,2022-01-10,Inquiry
735,12052,2022-06-20,Inquiry
736,44515,2020-11-02,Inquiry
737,20125,2021-07-09,Complaint
738,7905,2021-10-03,Complaint
739,27556,2020-06-09,Inquiry
740,7879,2020-07-04,Inquiry
741,32184,2023-03-01,Inquiry
742,43232,2021-03-06,Inquiry
743,16389,2024-09-27,Inquiry
744,11065,2023-06-02,Complaint
745,31759,2021-05-09,Inquiry
746,2678,2022-12-15,Complaint
747,24053,2022-04-14,Complaint
748,23085,2025-02-14,Inquiry
749,35382,2025-05-27,Complaint
750,9144,2023-01-20,Inquiry
751,12516,2021-08-08,Complaint
752,27009,2025-01-17,Complaint
753,29712,2020-04-25,Complaint
754,45318,2020-01-17,Inquiry
755,43848,2024-10-14,Inquiry
756,7376,2023-04-30,Inquiry
757,43368,2024-01-03,Complaint
758,28748,2021-05-18,Inquiry
759,27109,2020-10-01,Inquiry
760,35248,2020-07-29,Complaint
761,39656,2024-10-22,Inquiry
762,34763,2022-05-07,Complaint
763,6589,2025-01-09,Inquiry
764,14475,2020-01-01,Inquiry
765,27018,2021-08-08,Inquiry
766,27746,2020-11-08,Complaint
767,8938,2022-03-01,Inquiry
768,6779,2021-08-13,Complaint
769,40546,2025-05-13,Complaint
770,42112,2025-01-30,Complaint
771,41918,2021-01-06,Complaint
772,3956,2024-07-03,Complaint
773,47754,2021-02-25,Inquiry
774,16480,2023-03-17,Inquiry
775,17911,2023-10-26,Complaint
776,21763,2021-03-10,Inquiry
777,21933,2023-09-25,Complaint
778,4638,2023-03-20,Complaint
779,10927,2020-12-16,Complaint
780,23586,2021-05-11,Complaint
781,31299,2021-08-15,Inquiry
782,9529,2024-10-20,Inquiry
783,26858,2020-04-11,Inquiry
784,23445,2022-03-24,Inquiry
785,15785,2020-09-17,Complaint
786,6859,2023-12-14,Inquiry
787,39896,2021-07-09,Inquiry
788,38709,2024-10-29,Complaint
789,38883,2020-11-02,Inquiry
790,12584,2023-01-15,Complaint
791,29773,2022-06-02,Complaint
792,10488,2021-02-19,Inquiry
793,48373,2020-04-23,Inquiry
794,4194,2021-10-23,Inquiry
795,47193,2024-06-14,Complaint
